id,type,sequence,comment
BASIC_SEVA_37_CmR-p15A.1,backbone,,
PJ23101_BASIC,constitutive promoter,,
PJ23104_BASIC,constitutive promoter,,
PJ23108_BASIC,constitutive promoter,,
PJ23111_BASIC,constitutive promoter,,
PJ23119_BASIC,constitutive promoter,,
